date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:20:14	569423/569423	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2006:20:13%20GMT	https://www.classcentral.com/help/moocs	./www.classcentral.com/help/moocs.html	(from )
01:20:14	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%2264049940-154%22	https://www.classcentral.com/robots.txt		(from )
01:20:15	551104/551104	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2006:20:14%20GMT	https://www.classcentral.com/help/section/account	./www.classcentral.com/help/section/account.html	(from https://www.classcentral.com/help/moocs)
01:20:16	551136/551136	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2006:20:15%20GMT	https://www.classcentral.com/help/account-what-class-central	./www.classcentral.com/help/account-what-class-central.html	(from https://www.classcentral.com/help/moocs)
01:20:16	8047/8047	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:16%20GMT	https://www.classcentral.com/help/account-why-join-class-central	./www.classcentral.com/help/account-why-join-class-central	(from https://www.classcentral.com/help/moocs)
01:20:17	7971/7971	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:17%20GMT	https://www.classcentral.com/help/account-getting-started	./www.classcentral.com/help/account-getting-started	(from https://www.classcentral.com/help/moocs)
01:20:18	8336/8336	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:18%20GMT	https://www.classcentral.com/help/account-make-most-of-profile	./www.classcentral.com/help/account-make-most-of-profile.5.delayed	(from https://www.classcentral.com/help/moocs)
01:20:19	8298/8298	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:19%20GMT	https://www.classcentral.com/help/class-central-mobile-app	./www.classcentral.com/help/class-central-mobile-app.6.delayed	(from https://www.classcentral.com/help/moocs)
01:20:21	551261/551261	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2006:20:20%20GMT	https://www.classcentral.com/help/account-public-or-private	./www.classcentral.com/help/account-public-or-private.html	(from https://www.classcentral.com/help/moocs)
01:20:21	8304/8304	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:21%20GMT	https://www.classcentral.com/help/how-progress-dropdown-work	./www.classcentral.com/help/how-progress-dropdown-work.8.delayed	(from https://www.classcentral.com/help/moocs)
01:20:22	7945/7945	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:22%20GMT	https://www.classcentral.com/help/how-bookmark-work	./www.classcentral.com/help/how-bookmark-work	(from https://www.classcentral.com/help/moocs)
01:20:24	551932/551932	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2006:20:24%20GMT	https://www.classcentral.com/help/how-add-to-list	./www.classcentral.com/help/how-add-to-list.html	(from https://www.classcentral.com/help/moocs)
01:20:24	8367/8367	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:24%20GMT	https://www.classcentral.com/help/account-how-follow-button-work	./www.classcentral.com/help/account-how-follow-button-work.b.delayed	(from https://www.classcentral.com/help/moocs)
01:20:25	8003/8003	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:25%20GMT	https://www.classcentral.com/help/account-how-review-course	./www.classcentral.com/help/account-how-review-course	(from https://www.classcentral.com/help/moocs)
01:20:26	8291/8291	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:26%20GMT	https://www.classcentral.com/help/account-change-password	./www.classcentral.com/help/account-change-password.d.delayed	(from https://www.classcentral.com/help/moocs)
01:20:28	550353/550353	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2006:20:27%20GMT	https://www.classcentral.com/help/account-reset-password	./www.classcentral.com/help/account-reset-password.html	(from https://www.classcentral.com/help/moocs)
01:20:28	8300/8300	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:28%20GMT	https://www.classcentral.com/help/account-change-email	./www.classcentral.com/help/account-change-email.f.delayed	(from https://www.classcentral.com/help/moocs)
01:20:29	7924/7924	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:29%20GMT	https://www.classcentral.com/help/account-no-emails	./www.classcentral.com/help/account-no-emails	(from https://www.classcentral.com/help/moocs)
01:20:31	552178/552178	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2006:20:30%20GMT	https://www.classcentral.com/help/account-how-unsubscribe-emails	./www.classcentral.com/help/account-how-unsubscribe-emails.html	(from https://www.classcentral.com/help/moocs)
01:20:31	8288/8288	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:31%20GMT	https://www.classcentral.com/help/account-delete-account	./www.classcentral.com/help/account-delete-account.12.delayed	(from https://www.classcentral.com/help/moocs)
01:20:32	8063/8063	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:32%20GMT	https://www.classcentral.com/help/account-problems-accessing-courses	./www.classcentral.com/help/account-problems-accessing-courses	(from https://www.classcentral.com/help/moocs)
01:20:34	551014/551014	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2006:20:33%20GMT	https://www.classcentral.com/help/section/faq	./www.classcentral.com/help/section/faq.html	(from https://www.classcentral.com/help/moocs)
01:20:34	8272/8272	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:34%20GMT	https://www.classcentral.com/help/faq-what-are-moocs	./www.classcentral.com/help/faq-what-are-moocs.15.delayed	(from https://www.classcentral.com/help/moocs)
01:20:35	7952/7952	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:35%20GMT	https://www.classcentral.com/help/faq-how-moocs-work	./www.classcentral.com/help/faq-how-moocs-work	(from https://www.classcentral.com/help/moocs)
01:20:36	8215/8215	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:36%20GMT	https://www.classcentral.com/help/moocs-cost	./www.classcentral.com/help/moocs-cost.17.delayed	(from https://www.classcentral.com/help/moocs)
01:20:38	550295/550295	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2006:20:37%20GMT	https://www.classcentral.com/help/faq-who-can-sign-up	./www.classcentral.com/help/faq-who-can-sign-up.html	(from https://www.classcentral.com/help/moocs)
01:20:38	8252/8252	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:38%20GMT	https://www.classcentral.com/help/faq-how-enroll	./www.classcentral.com/help/faq-how-enroll.19.delayed	(from https://www.classcentral.com/help/moocs)
01:20:39	8052/8052	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:39%20GMT	https://www.classcentral.com/help/go-to-class-button-does-not-work	./www.classcentral.com/help/go-to-class-button-does-not-work	(from https://www.classcentral.com/help/moocs)
01:20:41	552166/552166	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2006:20:41%20GMT	https://www.classcentral.com/help/faq-what-courses-offered	./www.classcentral.com/help/faq-what-courses-offered.html	(from https://www.classcentral.com/help/moocs)
01:20:41	8285/8285	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2006%20Mar%202023%2006:20:41%20GMT	https://www.classcentral.com/help/faq-how-access-course	./www.classcentral.com/help/faq-how-access-course.1c.delayed	(from https://www.classcentral.com/help/moocs)
